Album,Artist,Genre,Filename,,,,Length,,,
Professional Rapper,Lil Dicky,Rap,$ave Dat Money,,,,298,,,
4 Walls,f(x),Kpop,4 Walls,,,,214,,,
10/10,P Money,Rap,10 10,,,,290,,,
130 Mood: TRBL,DEAN,Kpop,21,,,,211,,,
Wings,BTS,Kpop,21st Century Girls,,,,196,,,
Record,Die Fantastischen Vier,Pop,25,,,,190,,,
2015 Mid-Season Invitational,Riot Games,Film,2015 Mid-Season Invitational Full Theme,,,,142,,,
Wonder Woman Soundtrack,Rupert Gregson-Williams,Film,Action Reaction - Wonder Woman Soundtrack -,,,,186,,,
Reloaded,Luhan,Pop,Adventure Time,,,,220,,,
WORLDWIDE,Jay Park,Kpop,Ain’t No Party Like an AOMG Party,,,,297,,,
EVERYTHING YOU WANTED,Jay Park,Kpop,All I Wanna Do (English Version),,,,212,,,
EVERYTHING YOU WANTED,Jay Park,Kpop,All I Wanna Do,,,,217,,,
The Clan Pt. 1 Lost,Monsta X,Kpop,All In 걸어,,,,191,,,
All Mine,f(x),Kpop,All Mine,,,,209,,,
Coloring Book,Chance The Rapper,Rap,All Night,,,,135,,,
Songify the News,schmoyoho,Pop,America Gone to Pot,,,,190,,,
And July,Heize,Kpop,And July,,,,229,,,
Coloring Book,Chance The Rapper,Rap,Angels,,,,213,,,
V,Maroon 5,Pop,Animals,,,,229,,,
EVERYTHING YOU WANTED,Jay Park,Kpop,Aquaman,,,,253,,,
Words Words Words,Bo Burnham,Comedy,Art is Dead  (Green Room),,,,197,,,
EX'ACT,EXO,Kpop,Artificial Love,,,,244,,,
Assassin's Creed OST,Lorne Balfe,Film,Assassin-s Creed III Main Theme,,,,187,,,
Billion OST,Eskmo,Film,Axe & Chuck Faceoff,,,,261,,,
Billions OST,Eskmo,Film,Axe,,,,229,,,
Bad Boy,Red Velvet,Kpop,Bad Boy,,,,221,,,
MADE,BIGBANG,Kpop,BAE BAE (Official Instrumental),,,,170,,,
MADE,BIGBANG,Kpop,BAE BAE,,,,174,,,
MADE,BIGBANG,Kpop,BANG BANG BANG Instrumental,,,,220,,,
MADE,BIGBANG,Kpop,BANG BANG BANG 뱅뱅뱅,,,,230,,,
Batman vs Superman OST,Hans Zimmer & Junkie XL,Film,Beautiful Lie,,,,229,,,
BeBe,Seo In Guk,Kpop,BeBe,,,,214,,,
BERMUDA TRIANGLE,ZICO,Kpop,BERMUDA TRIANGLE,,,,217,,,
Big Bank,YG,Kpop,Big Bank,,,,237,,,
Big Hero 6 Soundtrack,Henry Jackman,Film,Big Hero 6 ,,,,419,,,
Wings,BTS,Kpop,Blood Sweat and Tears INSTRUMENTAL,,,,217,,,
Wings,BTS,Kpop,Blood Sweat and Tears,,,,216,,,
THE MOBB,Mino,Kpop,BODY Instrumental,,,,200,,,
The MOBB,Mino,Kpop,BODY 몸,,,,199,,,
130 mood : TRBL,Dean,Kpop,Bonnie & Clyde,,,,225,,,
Square One,Blackpink,Kpop,BOOMBAYAH 붐바야,,,,244,,,
Free Vol. 4 - EP,Kdrew,EDM,Bullseye,,,,250,,,
Lil Tracey,AJ Tracey,Rap,Buster Cannon,,,,240,,,
SWAAY,DNCE,Pop,Cake By The Ocean,,,,219,,,
Make Happy,Bo Burnham,Comedy,Cant Handle This,,,,445,,,
Act. 7,4minute,Kpop,Canvas,,,,216,,,
Captain America The Winter Soldier OST,Henry Jackman,Film,Captain America,,,,582,,,
Xperience,Luhan,Pop,Catch me When I fall,,,,267,,,
Chain,NCT 127,Kpop,Chain,,,,226,,,
Chained Up,VIXX,Kpop,Chained up 사슬,,,,213,,,
